"annee","nationalite","nombre_dirigeants"
"2015","ROUMAINE","1168"
"2015","ALGERIENNE","947"
"2015","MAROCAINE","859"
"2015","BRITANNIQUE","520"
"2015","ITALIENNE","463"
"2015","PORTUGAISE","432"
"2015","TUNISIENNE","415"
"2015","ESPAGNOLE","363"
"2015","BELGE","300"
"2015","TURQUE","260"
"2016","ROUMAINE","1207"
"2016","ALGERIENNE","1164"
"2016","MAROCAINE","1008"
"2016","BRITANNIQUE","781"
"2016","ITALIENNE","514"
"2016","PORTUGAISE","489"
"2016","TUNISIENNE","488"
"2016","ESPAGNOLE","420"
"2016","BELGE","314"
"2016","TURQUE","277"
"2017","ALGERIENNE","2039"
"2017","ROUMAINE","1205"
"2017","MAROCAINE","1199"
"2017","BRITANNIQUE","924"
"2017","TUNISIENNE","724"
"2017","ITALIENNE","690"
"2017","PORTUGAISE","561"
"2017","ESPAGNOLE","458"
"2017","BELGE","387"
"2017","TURQUE","291"
"2018","ALGERIENNE","3765"
"2018","MAROCAINE","1718"
"2018","TUNISIENNE","1451"
"2018","ROUMAINE","1187"
"2018","ITALIENNE","1052"
"2018","BRITANNIQUE","1002"
"2018","PORTUGAISE","713"
"2018","ESPAGNOLE","561"
"2018","AFGHANE","514"
"2018","BELGE","505"
"2019","ALGERIENNE","5235"
"2019","TUNISIENNE","2143"
"2019","MAROCAINE","2133"
"2019","ROUMAINE","1763"
"2019","BRITANNIQUE","1515"
"2019","AFGHANE","1338"
"2019","ITALIENNE","1327"
"2019","PORTUGAISE","950"
"2019","GUINEENE","771"
"2019","ESPAGNOLE","755"
"2020","ALGERIENNE","6940"
"2020","AFGHANE","2768"
"2020","MAROCAINE","2451"
"2020","TUNISIENNE","2393"
"2020","ROUMAINE","2326"
"2020","BRITANNIQUE","1716"
"2020","ITALIENNE","1551"
"2020","SOUDANAISE","1280"
"2020","GUINEENE","1222"
"2020","IVOIRIENNE","1058"
"2021","ALGERIENNE","9058"
"2021","AFGHANE","4674"
"2021","MAROCAINE","3152"
"2021","TUNISIENNE","2989"
"2021","ITALIENNE","2427"
"2021","SOUDANAISE","2419"
"2021","ROUMAINE","2191"
"2021","ESPAGNOLE","1680"
"2021","GUINEENE","1659"
"2021","IVOIRIENNE","1377"
"2022","ALGERIENNE","8254"
"2022","AFGHANE","3814"
"2022","MAROCAINE","2783"
"2022","ITALIENNE","2679"
"2022","ROUMAINE","2557"
"2022","TUNISIENNE","2545"
"2022","PORTUGAISE","1770"
"2022","ESPAGNOLE","1624"
"2022","IVOIRIENNE","1345"
"2022","BELGE","1314"
"2023","ALGERIENNE","14463"
"2023","MAROCAINE","5809"
"2023","ROUMAINE","5356"
"2023","AFGHANE","4924"
"2023","ITALIENNE","4836"
"2023","PORTUGAISE","4709"
"2023","TUNISIENNE","4622"
"2023","BELGE","3875"
"2023","ESPAGNOLE","3787"
"2023","BANGLADAISE","2639"
"2024","ALGERIENNE","12797"
"2024","AFGHANE","4339"
"2024","ITALIENNE","4242"
"2024","MAROCAINE","4215"
"2024","ROUMAINE","3942"
"2024","ESPAGNOLE","3766"
"2024","BELGE","3764"
"2024","PORTUGAISE","3440"
"2024","TUNISIENNE","3422"
"2024","IVOIRIENNE","1599"
