"annee","nationalite","nombre_dirigeants"
"2015","PORTUGAISE","4023"
"2015","ALGERIENNE","3847"
"2015","MAROCAINE","3123"
"2015","TURQUE","2863"
"2015","ROUMAINE","2576"
"2015","TUNISIENNE","2511"
"2015","BELGE","2392"
"2015","ITALIENNE","2334"
"2015","CHINOISE","2299"
"2015","BRITANNIQUE","2269"
"2016","ALGERIENNE","4948"
"2016","PORTUGAISE","4213"
"2016","MAROCAINE","3673"
"2016","TURQUE","3261"
"2016","TUNISIENNE","3142"
"2016","ROUMAINE","2977"
"2016","BELGE","2668"
"2016","ITALIENNE","2640"
"2016","BRITANNIQUE","2506"
"2016","CHINOISE","2478"
"2017","ALGERIENNE","6068"
"2017","PORTUGAISE","4218"
"2017","MAROCAINE","4206"
"2017","TUNISIENNE","3667"
"2017","TURQUE","3391"
"2017","ROUMAINE","3382"
"2017","ITALIENNE","2936"
"2017","BELGE","2784"
"2017","CHINOISE","2685"
"2017","BRITANNIQUE","2624"
"2018","ALGERIENNE","8109"
"2018","MAROCAINE","4835"
"2018","TUNISIENNE","4632"
"2018","PORTUGAISE","4295"
"2018","TURQUE","3562"
"2018","ROUMAINE","3467"
"2018","ITALIENNE","3427"
"2018","CHINOISE","2937"
"2018","BELGE","2931"
"2018","BRITANNIQUE","2828"
"2019","ALGERIENNE","9748"
"2019","TUNISIENNE","5633"
"2019","MAROCAINE","5416"
"2019","PORTUGAISE","4661"
"2019","ROUMAINE","4313"
"2019","ITALIENNE","3957"
"2019","TURQUE","3742"
"2019","BRITANNIQUE","3350"
"2019","BELGE","3150"
"2019","CHINOISE","3085"
"2020","ALGERIENNE","11286"
"2020","MAROCAINE","5893"
"2020","TUNISIENNE","5795"
"2020","ROUMAINE","4789"
"2020","PORTUGAISE","4303"
"2020","ITALIENNE","3865"
"2020","TURQUE","3485"
"2020","BRITANNIQUE","3395"
"2020","BELGE","3181"
"2020","AFGHANE","2913"
"2021","ALGERIENNE","14222"
"2021","MAROCAINE","7141"
"2021","TUNISIENNE","6946"
"2021","PORTUGAISE","5273"
"2021","ITALIENNE","5207"
"2021","ROUMAINE","5132"
"2021","AFGHANE","4865"
"2021","BELGE","3984"
"2021","TURQUE","3908"
"2021","ESPAGNOLE","3538"
"2022","ALGERIENNE","13293"
"2022","TUNISIENNE","6773"
"2022","MAROCAINE","6627"
"2022","ROUMAINE","5690"
"2022","CHINOISE","5565"
"2022","ITALIENNE","5538"
"2022","PORTUGAISE","5426"
"2022","TURQUE","4296"
"2022","BELGE","4164"
"2022","AFGHANE","4077"
"2023","ALGERIENNE","19665"
"2023","MAROCAINE","9500"
"2023","TUNISIENNE","8908"
"2023","PORTUGAISE","8135"
"2023","CHINOISE","8133"
"2023","ROUMAINE","8052"
"2023","ITALIENNE","7462"
"2023","BELGE","6428"
"2023","ESPAGNOLE","5584"
"2023","TURQUE","5360"
"2024","ALGERIENNE","16373"
"2024","MAROCAINE","6635"
"2024","TUNISIENNE","6235"
"2024","ITALIENNE","5871"
"2024","ROUMAINE","5858"
"2024","PORTUGAISE","5771"
"2024","BELGE","5333"
"2024","ESPAGNOLE","5008"
"2024","AFGHANE","4620"
"2024","CHINOISE","3604"
