"annee","nationalite","nombre_dirigeants"
"2015","PORTUGAISE","3591"
"2015","ALGERIENNE","2900"
"2015","TURQUE","2603"
"2015","MAROCAINE","2264"
"2015","CHINOISE","2100"
"2015","TUNISIENNE","2096"
"2015","BELGE","2092"
"2015","ITALIENNE","1871"
"2015","BRITANNIQUE","1749"
"2015","ROUMAINE","1408"
"2016","ALGERIENNE","3784"
"2016","PORTUGAISE","3724"
"2016","TURQUE","2984"
"2016","MAROCAINE","2665"
"2016","TUNISIENNE","2654"
"2016","BELGE","2354"
"2016","CHINOISE","2233"
"2016","ITALIENNE","2126"
"2016","ROUMAINE","1770"
"2016","BRITANNIQUE","1725"
"2017","ALGERIENNE","4029"
"2017","PORTUGAISE","3657"
"2017","TURQUE","3100"
"2017","MAROCAINE","3007"
"2017","TUNISIENNE","2943"
"2017","CHINOISE","2454"
"2017","BELGE","2397"
"2017","ITALIENNE","2246"
"2017","ROUMAINE","2177"
"2017","BRITANNIQUE","1700"
"2018","ALGERIENNE","4344"
"2018","PORTUGAISE","3582"
"2018","TURQUE","3184"
"2018","TUNISIENNE","3181"
"2018","MAROCAINE","3117"
"2018","CHINOISE","2677"
"2018","BELGE","2426"
"2018","ITALIENNE","2375"
"2018","ROUMAINE","2280"
"2018","BRITANNIQUE","1826"
"2019","ALGERIENNE","4513"
"2019","PORTUGAISE","3711"
"2019","TUNISIENNE","3490"
"2019","TURQUE","3316"
"2019","MAROCAINE","3283"
"2019","CHINOISE","2811"
"2019","ITALIENNE","2630"
"2019","ROUMAINE","2550"
"2019","BELGE","2506"
"2019","BRITANNIQUE","1835"
"2020","ALGERIENNE","4346"
"2020","MAROCAINE","3442"
"2020","TUNISIENNE","3402"
"2020","PORTUGAISE","3372"
"2020","TURQUE","3036"
"2020","BELGE","2536"
"2020","ROUMAINE","2463"
"2020","ITALIENNE","2314"
"2020","CHINOISE","1919"
"2020","BRITANNIQUE","1679"
"2021","ALGERIENNE","5164"
"2021","MAROCAINE","3989"
"2021","PORTUGAISE","3980"
"2021","TUNISIENNE","3957"
"2021","TURQUE","3393"
"2021","BELGE","2998"
"2021","ROUMAINE","2941"
"2021","CHINOISE","2822"
"2021","ITALIENNE","2780"
"2021","BRITANNIQUE","1875"
"2022","ALGERIENNE","5039"
"2022","CHINOISE","4930"
"2022","TUNISIENNE","4228"
"2022","MAROCAINE","3844"
"2022","PORTUGAISE","3656"
"2022","TURQUE","3604"
"2022","ROUMAINE","3133"
"2022","ITALIENNE","2859"
"2022","BELGE","2850"
"2022","ESPAGNOLE","1895"
"2023","CHINOISE","6880"
"2023","ALGERIENNE","5202"
"2023","TUNISIENNE","4286"
"2023","TURQUE","3751"
"2023","MAROCAINE","3691"
"2023","PORTUGAISE","3426"
"2023","ROUMAINE","2696"
"2023","ITALIENNE","2626"
"2023","BELGE","2553"
"2023","ESPAGNOLE","1797"
"2024","ALGERIENNE","3576"
"2024","TUNISIENNE","2813"
"2024","CHINOISE","2695"
"2024","MAROCAINE","2420"
"2024","TURQUE","2355"
"2024","PORTUGAISE","2331"
"2024","ROUMAINE","1916"
"2024","ITALIENNE","1629"
"2024","BELGE","1569"
"2024","ESPAGNOLE","1242"
